2/14/2011 11:00:44 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/DangNhap.aspx
2/14/2011 11:00:45 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/DangNhap.aspx
2/14/2011 11:00:46 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/default.aspx
2/14/2011 11:00:47 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/14/2011 11:00:48 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/danhmuc_manager.aspx
2/14/2011 11:00:48 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/customer_information.aspx
2/14/2011 11:00:49 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/user_manager.aspx
2/14/2011 11:00:50 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/admin_manager.aspx
2/14/2011 11:00:51 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/danhmuc_manager.aspx
2/14/2011 11:00:51 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/14/2011 11:00:52 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transaction_manager.aspx
2/14/2011 11:00:52 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/14/2011 11:00:53 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/customer_information.aspx
2/14/2011 11:00:54 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/danhmuc_manager.aspx
2/14/2011 11:00:54 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/14/2011 11:00:55 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/14/2011 11:00:55 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transaction_manager.aspx
2/14/2011 11:00:56 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/14/2011 11:00:58 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transaction_manager.aspx
2/14/2011 11:00:59 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/14/2011 11:01:00 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transaction_manager.aspx
2/14/2011 11:01:02 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transactionCo_manager.aspx
2/14/2011 11:01:03 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transactionCo_manager.aspx
2/14/2011 11:01:32 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/customer_information.aspx
2/14/2011 11:01:35 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/danhmuc_manager.aspx
2/14/2011 11:01:36 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/factory_add.aspx
2/14/2011 11:01:38 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/factory_manager.aspx
2/14/2011 11:01:41 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/factory_add.aspx?ID=253
2/14/2011 11:01:44 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/region_manager.aspx
2/14/2011 11:01:46 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/province_manager.aspx
2/14/2011 11:01:48 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/province_add.aspx
2/14/2011 11:01:49 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/factory_manager.aspx
2/14/2011 11:02:01 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/14/2011 11:02:02 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transaction_manager.aspx
2/14/2011 11:02:03 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/14/2011 11:02:04 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/14/2011 11:02:29 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/14/2011 11:02:31 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/14/2011 11:02:32 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/14/2011 11:02:33 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/14/2011 11:02:34 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transaction_manager.aspx
2/14/2011 11:02:36 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/14/2011 11:02:37 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/danhmuc_manager.aspx
2/14/2011 11:02:37 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/customer_information.aspx
2/14/2011 11:02:38 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/user_manager.aspx
2/14/2011 11:02:38 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/admin_manager.aspx
2/14/2011 11:02:39 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/user_manager.aspx
2/14/2011 11:02:39 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/customer_information.aspx
2/14/2011 11:02:41 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/14/2011 11:02:41 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/danhmuc_manager.aspx
2/14/2011 11:02:42 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transaction_manager.aspx
2/14/2011 11:02:42 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/14/2011 11:02:43 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transaction_manager.aspx
2/14/2011 11:02:44 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
