2/15/2011 10:11:38 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/user_manager.aspx
2/15/2011 10:11:39 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/user_add.aspx
2/15/2011 10:11:41 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/user_manager.aspx
2/15/2011 10:11:42 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/user_add.aspx
2/15/2011 10:11:44 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/customer_information.aspx
2/15/2011 10:11:47 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/customer_information.aspx
2/15/2011 10:11:52 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/danhmuc_manager.aspx
2/15/2011 10:11:53 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/region_manager.aspx
2/15/2011 10:11:54 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/region_add.aspx
2/15/2011 10:11:55 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/region_manager.aspx
2/15/2011 10:11:56 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/customer_information.aspx
2/15/2011 10:12:16 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/customer_information.aspx
2/15/2011 10:12:24 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/danhmuc_manager.aspx
2/15/2011 10:12:24 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/15/2011 10:12:25 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transaction_manager.aspx
2/15/2011 10:12:26 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/15/2011 10:12:26 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/15/2011 10:12:31 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/15/2011 10:12:51 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/15/2011 10:12:57 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/15/2011 10:13:02 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/15/2011 10:13:04 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/15/2011 10:13:05 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transaction_manager.aspx
2/15/2011 10:13:05 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/15/2011 10:13:06 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transaction_manager.aspx
2/15/2011 10:13:08 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transactionCo_manager.aspx
2/15/2011 10:13:10 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transactionCo_manager.aspx
2/15/2011 10:13:44 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/DangNhap.aspx
2/15/2011 10:13:50 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/DangNhap.aspx
2/15/2011 10:13:50 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/default.aspx
2/15/2011 10:13:51 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/15/2011 10:13:54 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/15/2011 10:14:15 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/15/2011 10:15:41 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/15/2011 10:15:48 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/15/2011 10:15:50 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/15/2011 10:15:51 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/15/2011 10:15:51 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transaction_manager.aspx
2/15/2011 10:15:53 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transactionNo_manager.aspx
2/15/2011 10:15:54 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transactionCo_manager.aspx
2/15/2011 10:15:55 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/danhmuc_manager.aspx
2/15/2011 10:15:55 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/admin_manager.aspx
2/15/2011 10:15:57 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:16:02 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/admin_manager.aspx
2/15/2011 10:16:03 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:16:32 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/admin_manager.aspx
2/15/2011 10:16:33 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/admin_add.aspx
2/15/2011 10:16:33 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/ChangePass.aspx
2/15/2011 10:16:34 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:16:35 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/admin_manager.aspx
2/15/2011 10:16:36 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:16:39 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:20:10 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:20:12 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:20:24 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:20:32 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:20:33 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:20:34 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:20:59 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:21:00 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:21:31 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:21:46 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:21:52 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:21:55 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:21:56 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:21:57 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:21:59 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:22:01 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:22:03 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:22:06 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:22:08 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:22:12 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:22:16 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/DangNhap.aspx
2/15/2011 10:22:19 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/DangNhap.aspx
2/15/2011 10:22:19 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/default.aspx
2/15/2011 10:22:20 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/danhmuc_manager.aspx
2/15/2011 10:22:22 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/MessengerRight.aspx
2/15/2011 10:22:24 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/MessengerRight.aspx
